Город;Субъект РФ;с.ш.;в.д.;Население;
Кулебаки;Нижегородская;55.4314599;42.512411;32184;
Кумертау;Башкортостан;52.7637387;55.811568;57949;
Кунгур;Пермский;57.431641;56.9397122;62673;
Купино;Новосибирская;54.3642627;77.296755;15065;
Курган;Курганская;55.4590496;65.34932;310911;
Курганинск;Краснодарский;44.8845056;40.588866;47305;
Курильск;Сахалинская;45.2323935;147.87277;2530;
Курлово;Владимирская;55.4500156;40.610066;6309;
Куровское;Московская;55.5792097;38.921919;19857;
Курск;Курская;51.7482395;36.194702;440052;
Куртамыш;Курганская;54.9110338;64.428849;14806;
Курчалой;Чечня;43.2082756;46.084513;23425;
Курчатов;Курская;51.6589082;35.658709;40318;
Куса;Челябинская;55.3377108;59.442093;17136;
Кызыл;Тыва;51.7150832;94.45748;125241;
Кыштым;Челябинская;55.7079249;60.539577;36045;
Кяхта;Бурятия;50.3492922;106.482;17877;
Лабинск;Краснодарский;44.6355901;40.724474;57428;
Лабытнанги;Ямало-Ненецкий;66.6557632;66.389831;25501;
Ладушкин;Калининградская;54.5704266;20.174146;3666;
Лаишево;Татарстан;55.4013646;49.549277;9076;
Лакинск;Владимирская;56.0170304;39.949387;12861;
Лангепас;Ханты-Мансийский;61.2703184;75.170085;42701;
Лахденпохья;Карелия;61.5197315;30.197751;5952;
Лебедянь;Липецкая;53.0205689;39.130479;20049;
Лениногорск;Татарстан;54.5986836;52.448185;60993;
Ленинск;Волгоградская;48.7044102;45.190022;13391;
Ленинск-Кузнецкий;Кемеровская;54.6715178;86.174547;92244;
Ленск;Якутия;60.7213913;114.9024;21392;
Лермонтов;Ставропольский;44.1109665;42.968418;22444;
Лесной;Свердловская;58.6356672;59.790403;48261;
Лесозаводск;Приморский;45.4645149;133.39805;35433;
Лесосибирск;Красноярский;58.2296736;92.501259;55730;
Ливны;Орловская;52.4282402;37.602784;43549;
Ликино-Дулёво;Московская;55.7046285;38.957558;34191;
Липецк;Липецкая;52.6121996;39.598122;496403;
Липки;Тульская;53.9418789;37.701415;8325;
Лиски;Воронежская;50.9870451;39.497767;54147;
Лихославль;Тверская;57.1230418;35.464477;11017;
Лобня;Московская;56.0126582;37.480873;82764;
